x,y,cog,sog
12.09689667,54.16438,7.599999905,4.400000095
12.09716667,54.16614833,3.900000095,6.199999809
12.09743167,54.168015,4.800000191,7.099999905
12.097615,54.17012667,1.100000024,7.800000191
12.09742167,54.17236333,353.6000061,8.199999809
12.09671833,54.17459833,348.1000061,8.300000191
12.09566667,54.17680333,342.0,8.5
12.09450167,54.17888167,342.0,7.199999809
12.09347667,54.18074333,342.2000122,6.599999905
12.09249667,54.18249667,342.5,6.699999809
12.09155667,54.18429,342.7000122,7.0
12.09048667,54.18625667,341.3999939,7.599999905
12.0893,54.188375,343.6000061,8.300000191
12.08814167,54.19068667,343.0,8.800000191
12.08674667,54.19302833,340.8999939,8.899999619
12.085545,54.19503833,339.8999939,9.0
12.08383833,54.19783333,340.1000061,9.199999809
12.08239333,54.20020833,340.7000122,9.300000191
12.081155,54.202295,340.7999878,9.300000191
12.07952,54.20511333,342.0,9.399999619
12.07822,54.20759167,342.7000122,9.300000191
12.07697,54.21006167,343.7000122,9.300000191
12.07565,54.21248167,342.2000122,9.300000191
12.07430167,54.21493667,341.6000061,9.300000191
12.07293167,54.21739833,342.1000061,9.300000191
12.07142,54.21987,339.1000061,9.199999809
12.06985167,54.222285,339.2999878,9.300000191
12.06845,54.22471333,342.8999939,9.399999619
12.06720833,54.227165,342.1000061,9.199999809
12.06580667,54.22962,340.3999939,9.100000381
12.06434167,54.23202,340.2999878,9.199999809
12.06299833,54.23438833,341.8999939,9.100000381
12.061405,54.23720333,341.8999939,9.100000381
12.06027,54.23925667,342.3999939,9.100000381
12.05867333,54.24203,341.7000122,9.199999809
12.05729333,54.24446667,342.1000061,9.199999809
12.05558,54.24676,333.0,8.800000191
12.053245,54.24872833,317.7000122,8.399999619
12.05052333,54.24992,301.8999939,8.300000191
12.046955,54.25043667,272.5,7.900000095
12.0431,54.250245,263.1000061,8.399999619
12.03833167,54.25,266.3999939,8.699999809
12.03417667,54.24985833,266.7999878,8.800000191
12.03069667,54.24973667,266.7000122,8.800000191
12.02647833,54.24959667,267.2000122,8.899999619
12.02226,54.24945667,266.7000122,8.800000191
12.01806833,54.249305,266.6000061,8.800000191
12.01386333,54.24916333,266.5,8.800000191
12.00969833,54.24902167,266.8999939,8.899999619
12.00548833,54.24884833,266.6000061,8.899999619
12.00115833,54.248705,266.7999878,8.899999619
11.99690833,54.24853667,266.3999939,8.899999619
11.99277333,54.248375,266.3999939,8.899999619
11.98858833,54.248205,266.0,9.0
11.98361833,54.24799833,266.2000122,8.899999619
11.9793,54.24783833,265.7000122,9.0
11.97513667,54.247645,266.2000122,9.0
11.97089667,54.24745333,265.8999939,9.0
11.96663833,54.24725333,265.8999939,9.0
11.96306667,54.24710333,265.7000122,9.0
11.958735,54.24693167,266.1000061,9.0
11.95518,54.24677333,266.0,9.0
11.95019667,54.24653833,265.7000122,9.0
11.94602667,54.24636,265.7999878,9.0
11.94108167,54.24613667,265.3999939,9.0
11.93674167,54.245935,265.5,9.0
11.93325167,54.24579167,265.6000061,9.0
11.92897,54.24560333,265.7000122,9.0
11.92463,54.24539667,265.7999878,9.0
11.92036667,54.24518167,266.0,9.0
11.9162,54.24498667,265.6000061,9.0
11.91192667,54.24477833,265.5,9.0
11.90757333,54.24457667,265.7999878,9.0
11.90322333,54.24434833,265.2000122,9.0
11.89897833,54.24415833,265.2999878,9.0
11.894685,54.243965,265.6000061,9.100000381
11.89036333,54.24376833,265.5,9.100000381
11.88603667,54.24355833,265.7999878,9.100000381
11.88172333,54.24338333,265.7000122,9.100000381
11.87746333,54.24319333,265.3999939,9.199999809
11.87304667,54.24300167,265.7000122,9.100000381
11.86879667,54.24282167,266.7999878,9.0
11.86673833,54.24274833,266.6000061,8.899999619
11.86033,54.24254167,266.6000061,8.800000191
11.85698333,54.242435,266.8999939,8.800000191
11.85193667,54.242265,267.3999939,8.800000191
11.84773167,54.24213667,267.3999939,8.899999619
11.84359833,54.24204,267.5,8.899999619
11.83931,54.24192667,267.2999878,8.899999619
11.83516167,54.24182167,267.7999878,8.899999619
11.83162833,54.241725,267.7000122,8.899999619
11.82667333,54.24158,267.3999939,8.899999619
11.82246333,54.24146333,267.0,8.899999619
11.81825667,54.24134,266.7000122,8.899999619
11.81403667,54.24119667,266.8999939,8.899999619
11.80981667,54.24105667,267.1000061,8.899999619
11.80560333,54.24092667,267.3999939,8.899999619
11.80134167,54.24079667,267.2000122,8.899999619
11.797125,54.240675,267.0,8.899999619
11.793025,54.24056333,267.3999939,8.800000191
11.78825167,54.240435,267.7000122,8.800000191
11.78464333,54.24033833,267.2999878,8.699999809
11.78049667,54.240215,267.3999939,8.699999809
11.77578,54.24007833,267.6000061,8.800000191
11.772235,54.24001167,267.8999939,8.800000191
11.768045,54.23989833,267.1000061,8.899999619
11.76390667,54.23979167,267.7000122,8.899999619
11.76025667,54.23968167,267.5,8.899999619
11.75539,54.239575,268.3999939,9.0
11.75111,54.23951,268.2000122,9.0
11.746925,54.23945667,268.2999878,8.899999619
11.74259833,54.23937833,268.8999939,9.0
11.73832167,54.23929167,266.7000122,9.0
11.73410167,54.23907,264.6000061,9.0
11.73036,54.238875,265.2000122,9.0
11.72617667,54.23867333,265.2000122,9.0
11.72261167,54.23849667,265.0,9.100000381
11.71624667,54.23817333,264.8999939,9.100000381
11.71338333,54.23802167,265.2000122,9.100000381
11.70903833,54.237825,265.0,9.0
11.70405833,54.237535,264.7999878,9.100000381
11.69985833,54.2373,264.2000122,9.0
11.695545,54.23703667,263.7000122,9.100000381
11.69132833,54.23672667,263.0,9.100000381
11.68705667,54.236395,262.1000061,9.100000381
11.68266333,54.23607333,262.7999878,9.199999809
11.67835,54.23573833,262.3999939,9.199999809
11.67410667,54.23536167,261.3999939,9.199999809
11.66981167,54.23498333,261.2000122,9.199999809
11.66548,54.23459167,261.7999878,9.199999809
11.66120167,54.23421167,261.2999878,9.100000381
11.65682667,54.23382167,263.1000061,9.100000381
11.652655,54.23324333,253.6999969,9.0
11.649,54.23210167,234.3000031,9.0
,,,
11.642605,54.22870667,218.0,9.199999809
11.63985667,54.22665,219.6999969,9.300000191
11.637895,54.22529667,221.0,9.300000191
11.63409667,54.22279167,221.5,9.300000191
11.63106667,54.22085167,222.3999939,9.300000191
11.62808833,54.21892333,222.3000031,9.300000191
11.625115,54.21702167,222.3999939,9.300000191
11.62202833,54.21503333,222.5,9.199999809
11.62015167,54.21384333,222.8999939,9.199999809
11.61615,54.21127667,222.1999969,9.100000381
11.61322833,54.20939333,222.3000031,9.100000381
11.61029167,54.20752667,221.8999939,9.100000381
11.60739667,54.205655,222.3999939,9.100000381
11.60455833,54.20387833,222.8999939,9.0
11.60166,54.20202,221.8999939,9.0
11.599755,54.20078667,222.5,9.0
11.59594167,54.19835,222.8999939,8.899999619
11.59304667,54.196505,222.6000061,8.800000191
11.590185,54.19468667,222.6000061,8.899999619
11.588705,54.19374667,222.5,8.899999619
11.58448833,54.19105333,223.1999969,8.899999619
11.58155333,54.18921333,222.5,8.899999619
11.57867,54.18738,222.6000061,8.899999619
11.57673167,54.18611333,222.1000061,8.899999619
11.57302333,54.18375667,223.0,8.899999619
11.57107167,54.18251167,223.3000031,8.899999619
11.56922833,54.18131,222.5,8.899999619
11.56481667,54.17852833,222.8000031,8.899999619
11.56244833,54.177075,224.1000061,8.800000191
11.55843833,54.17469833,225.1999969,8.899999619
11.55650167,54.17356167,224.6999969,8.899999619
11.55250167,54.17119667,224.6999969,9.0
11.54951667,54.16940833,225.0,9.0
11.54645,54.16756667,224.6000061,9.0
11.545505,54.16699167,224.1000061,9.0
11.543,54.16548833,224.8999939,9.0
,,,
,,,
11.53148667,54.15854333,224.6999969,9.199999809
11.52903167,54.157045,224.3999939,9.199999809
,,,
11.52228333,54.15299167,224.3999939,9.300000191
11.51926333,54.15114667,224.1999969,9.300000191
11.51825,54.15053,224.6999969,9.300000191
11.514205,54.14808333,224.6000061,9.300000191
11.51004333,54.14558667,223.8999939,9.300000191
11.50693667,54.14368,224.3999939,9.300000191
11.50444,54.14215333,224.0,9.300000191
,,,
,,,
,,,
11.491285,54.134055,223.8999939,9.399999619
11.49066833,54.13366667,224.0,9.399999619
11.48808667,54.13208167,223.1999969,9.399999619
11.48504,54.13021333,223.8000031,9.5
,,,
11.476225,54.12480167,223.8999939,9.5
,,,
,,,
11.46900167,54.12034667,223.5,9.5
11.46481167,54.11774833,223.0,9.5
,,,
,,,
,,,
11.45168167,54.10956833,217.6999969,9.300000191
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
11.44100167,54.08542333,157.6000061,9.399999619
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
11.44800333,54.05967833,236.1000061,8.5
,,,
,,,
,,,
11.435345,54.053265,226.8999939,9.0
11.43268333,54.0518,227.3000031,9.0
11.43158167,54.05119333,227.6999969,9.100000381
,,,
11.42518333,54.047845,228.3999939,9.0
11.420485,54.04539167,227.0,9.0
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
11.38947667,54.02970667,229.6999969,9.100000381
